Order_Batch_ID,Date,Month,Day,City,Cuisine,Order_Channel,Weather,Orders,Average_Order_Value,Revenue,Marketing_Spend,Discounts,Avg_Delivery_Minutes,Customer_Rating,Repeat_Customer_Percent
FD0001,2025-03-22,March,Saturday,Hyderabad,North Indian,App,Hot,156,421.03,67374.27,28150.42,7859.02,30.7,4.38,45.1
FD0002,2025-04-15,April,Tuesday,Chandigarh,Chinese,App,Rainy,129,371.99,50312.93,20907.75,2604.03,38.0,4.34,40.4
FD0003,2025-01-26,January,Sunday,Mumbai,Healthy,App,Clear,157,490.16,71929.08,18930.77,3613.92,25.3,4.65,43.0
FD0004,2025-06-20,June,Friday,Pune,Chinese,App,Hot,147,391.25,58803.81,35926.51,10092.64,32.6,4.48,41.2
FD0005,2025-08-07,August,Thursday,Bengaluru,Fast Food,Partner Platform,Rainy,172,243.76,40416.5,23514.6,2500.3,39.3,4.16,35.9
FD0006,2025-04-08,April,Tuesday,Mumbai,North Indian,App,Clear,184,438.26,87348.6,20344.96,3935.1,35.9,4.32,37.7
FD0007,2025-12-23,December,Tuesday,Delhi,North Indian,Website,Cloudy,193,418.88,79386.06,30477.4,6585.93,33.2,4.57,42.0
FD0008,2025-03-12,March,Wednesday,Delhi,North Indian,App,Clear,166,407.02,60416.42,36522.96,7376.31,29.6,4.5,42.9
FD0009,2025-03-12,March,Wednesday,Delhi,North Indian,Website,Clear,117,358.4,45306.81,30789.52,5995.57,29.8,4.54,44.3
FD0010,2025-07-07,July,Monday,Hyderabad,Healthy,App,Rainy,169,470.73,83328.52,27546.35,6724.29,39.0,4.4,41.3
FD0011,2025-12-03,December,Wednesday,Hyderabad,Chinese,App,Rainy,154,363.79,54259.49,27323.35,3789.81,43.1,3.99,35.2
FD0012,2025-08-02,August,Saturday,Kochi,South Indian,App,Rainy,157,351.56,57203.2,21130.99,4878.22,37.5,4.18,43.0
FD0013,2025-06-27,June,Friday,Pune,Fast Food,App,Clear,134,299.44,41429.62,34902.82,7153.81,26.2,4.8,45.9
FD0014,2025-08-14,August,Thursday,Hyderabad,Fast Food,Website,Clear,145,331.44,51137.94,24320.66,4707.67,28.4,4.6,40.5
FD0015,2025-04-09,April,Wednesday,Bengaluru,Chinese,Website,Hot,146,393.11,57390.42,19706.62,3504.74,31.7,4.47,38.5
FD0016,2025-02-06,February,Thursday,Pune,Chinese,App,Cloudy,117,368.42,42700.48,22241.43,2990.67,33.7,4.37,36.2
FD0017,2025-12-16,December,Tuesday,Jaipur,Biryani,App,Clear,131,457.93,64453.9,28356.75,4279.03,27.2,4.64,47.2
FD0018,2025-11-20,November,Thursday,Pune,South Indian,App,Cloudy,148,363.55,57117.39,38652.74,10039.74,26.4,4.57,47.1
FD0019,2025-12-23,December,Tuesday,Jaipur,Healthy,Partner Platform,Cloudy,112,457.4,55284.59,27680.35,3049.26,27.5,4.62,40.2
FD0020,2025-08-25,August,Monday,Mumbai,South Indian,App,Clear,167,377.04,60139.19,26567.54,3476.2,31.7,4.44,38.6
FD0021,2025-12-13,December,Saturday,Hyderabad,Chinese,App,Clear,206,365.91,75319.23,26858.75,4871.37,27.2,4.49,41.4
FD0022,2025-06-26,June,Thursday,Bengaluru,South Indian,App,Clear,183,343.43,66678.59,35808.47,9636.64,24.6,4.8,48.9
FD0023,2025-11-20,November,Thursday,Pune,North Indian,Partner Platform,Clear,131,447.11,58561.07,39714.44,10195.1,28.8,4.58,44.7
FD0024,2025-07-03,July,Thursday,Delhi,South Indian,Website,Clear,165,354.5,50138.11,23868.66,4706.67,42.7,4.02,32.5
FD0025,2025-11-19,November,Wednesday,Bengaluru,Healthy,Partner Platform,Cloudy,187,445.62,80151.87,39449.59,10117.57,39.7,4.28,37.9
FD0026,2025-10-25,October,Saturday,Kochi,Fast Food,Website,Cloudy,162,316.49,46240.75,21395.94,2768.02,31.3,4.5,36.9
FD0027,2025-05-17,May,Saturday,Pune,Biryani,Partner Platform,Clear,153,463.19,65016.9,23207.68,5316.87,29.3,4.61,44.0
FD0028,2025-08-12,August,Tuesday,Chandigarh,South Indian,Partner Platform,Clear,103,333.18,36204.18,25244.57,1636.17,37.8,4.16,36.7
FD0029,2025-10-01,October,Wednesday,Kochi,Chinese,Partner Platform,Clear,114,416.77,53424.17,30799.05,3187.91,32.8,4.43,40.9
FD0030,2025-01-10,January,Friday,Kochi,Fast Food,App,Hot,98,352.62,38599.8,11336.64,3293.21,28.1,4.56,42.1
FD0031,2025-05-15,May,Thursday,Kochi,Biryani,App,Cloudy,105,449.04,40912.29,21694.98,3129.24,30.3,4.43,40.3
FD0032,2025-01-09,January,Thursday,Jaipur,Fast Food,App,Clear,86,330.67,25722.1,19301.3,1614.59,23.6,4.72,47.8
FD0033,2025-01-09,January,Thursday,Chandigarh,South Indian,App,Clear,100,320.33,31050.57,15762.94,2274.19,25.5,4.81,50.2
FD0034,2025-01-24,January,Friday,Bengaluru,Healthy,App,Clear,152,510.15,76981.24,18461.53,5892.43,30.0,4.57,43.3
FD0035,2025-04-18,April,Friday,Chandigarh,Chinese,App,Cloudy,105,379.11,41576.53,20203.22,2979.67,27.4,4.72,48.5
FD0036,2025-01-04,January,Saturday,Kochi,Chinese,App,Hot,116,360.82,44866.11,15073.06,3266.97,27.2,4.57,43.9
FD0037,2025-12-26,December,Friday,Delhi,Fast Food,Partner Platform,Clear,197,334.89,69945.78,27279.34,4804.73,36.7,4.29,36.3
FD0038,2025-03-02,March,Sunday,Delhi,Biryani,App,Cloudy,205,448.46,93075.46,29961.51,10340.06,34.8,4.4,41.8
FD0039,2025-04-26,April,Saturday,Mumbai,South Indian,App,Cloudy,175,354.4,70618.37,21824.97,5304.22,36.1,4.4,40.1
FD0040,2025-06-08,June,Sunday,Hyderabad,Chinese,App,Rainy,165,404.08,65348.31,35284.78,9404.14,32.7,4.3,42.0
FD0041,2025-03-10,March,Monday,Delhi,Chinese,App,Rainy,160,360.25,55710.35,28087.78,7026.69,34.0,4.52,47.9
FD0042,2025-05-02,May,Friday,Delhi,Healthy,App,Cloudy,155,501.43,78606.15,18517.78,3550.0,27.5,4.6,44.4
FD0043,2025-09-02,September,Tuesday,Pune,Healthy,Partner Platform,Clear,127,547.57,63110.37,39261.25,10599.36,31.6,4.41,37.1
FD0044,2025-11-21,November,Friday,Mumbai,Healthy,Website,Cloudy,170,538.0,98586.38,37759.62,12870.62,37.3,4.4,38.0
FD0045,2025-11-06,November,Thursday,Bengaluru,Healthy,App,Clear,199,514.57,103292.16,45000.0,10294.67,32.9,4.41,38.8
FD0046,2025-05-22,May,Thursday,Delhi,South Indian,App,Clear,163,333.19,49735.91,25756.05,3522.66,20.6,4.75,47.4
FD0047,2025-11-17,November,Monday,Chandigarh,North Indian,Website,Clear,114,390.5,49517.76,37953.27,6876.26,31.3,4.54,38.6
FD0048,2025-08-09,August,Saturday,Mumbai,North Indian,App,Clear,203,455.03,91374.19,23185.57,6560.32,27.9,4.61,46.5
FD0049,2025-04-03,April,Thursday,Chandigarh,Chinese,App,Cloudy,133,382.83,55155.18,22576.89,2839.81,33.5,4.32,39.5
FD0050,2025-09-17,September,Wednesday,Pune,South Indian,App,Rainy,157,336.09,50871.79,37773.62,6883.62,33.6,4.4,44.2
